Ubicazione
ALZ NAVIGLIO GRANDE N. 146 ; (Z.D. 6)
VIA AGUDIO TOMMASO N. 4 INTERNO CORTILE; (Z.D. 8)
VIA AJACCIO N. 4 ; (Z.D. 3)
VIA ALBANI FRANCESCO N. 58 ; (Z.D. 8)
VIA ALBANI FRANCESCO N. 63 ; (Z.D. 8)
VIA ALBANI FRANCESCO N. 71 ; (Z.D. 8)
VIA ALBERTI LEON BATTISTA N. 6 PIANO RIALZATO; (Z.D. 8)
VIA ALBERTI LEON BATTISTA N. 8 ; (Z.D. 8)
VIA ALBERTINELLI MARIOTTO N. 4 ; (Z.D. 7)
VIA ALBERTINELLI MARIOTTO N. 7 (Z.D. 7)
VIA ALBERTO DA GIUSSANO N. 1 ; (Z.D. 7)
VIA ALBRICCI ALBERICO N. 1 ; (Z.D. 1)
VIA ALBRICCI ALBERICO N. 10 ; (Z.D. 1)
VIA ALBRICCI ALBERICO N. 8 ; (Z.D. 1)
VIA ALCIATI AMBROGIO N. 15 ; (Z.D. 6)
VIA ALCUINO N. 16 ; (Z.D. 8)
VIA ALCUINO N. 18 ; (Z.D. 8)
VIA ALCUINO N. 7 (Z.D. 8)
VIA ALDINI ANTONIO N. 47 ; (Z.D. 8)
VIA ALDINI ANTONIO N. 61 ; (Z.D. 8)
VIA ALDROVANDI ULISSE N. 7 ANG. VIA MASERA; (Z.D. 3)
VIA ALEARDI ALEARDO N. 4 (Z.D. 8)
VIA ALESSI GALEAZZO N. 11 ; (Z.D. 1)
VIA ALGAROTTI FRANCESCO N. 4 ; (Z.D. 9)
VIA ALSERIO N. 1 ; (Z.D. 9)
VIA ALSERIO N. 3 ; (Z.D. 9)
VIA ALTAMURA SAVERIO N. 17 (Z.D. 7)
VIA ALTAMURA SAVERIO N. 17 ; (Z.D. 7)
VIA ALTAMURA SAVERIO N. 7 ; (Z.D. 5)
VIA AMADEO GIAN ANTONIO N. 24 ; (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 27 (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 28 ; (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 35 ; (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 40 ; (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 40 VIA AMADEO  40 (Z.D. 3)
VIA AMADEO GIAN ANTONIO N. 54 ; (Z.D. 3)
VIA AMEDEI N. 3 ; (Z.D. 1)
VIA AMORETTI CARLO N. 8A (Z.D. 8)
VIA AMPERE ANDREA MARIA N. 103 ; (Z.D. 3)
VIA AMPERE ANDREA MARIA N. 120 VIA AMPERE 120 (Z.D. 3)
VIA AMPERE ANDREA MARIA N. 123 ; (Z.D. 3)
VIA AMPERE ANDREA MARIA N. 65 ; (Z.D. 3)
VIA ANACREONTE N. 1 P.R.; (Z.D. 2)
VIA ANDEGARI N. 18 (Z.D. 1)
VIA ANDO' FLAVIO NUM.0024; (Z.D. 8)
VIA ANDREA E PIETRO CASCELLA N. 8 (Z.D. 4)
VIA ANFITEATRO N. 6 ; (Z.D. 1)
VIA ANFOSSI AUGUSTO N. 19 P.T. E SEMINTERRATO; (Z.D. 4)
VIA ANFOSSI AUGUSTO N. 28 ; (Z.D. 4)
VIA ANFOSSI AUGUSTO N. 44 ; (Z.D. 4)
VIA ANFOSSI AUGUSTO N. 8 ; (Z.D. 4)
VIA ANFOSSI AUGUSTO N. 9 ; (Z.D. 4)
VIA ANGELO DELLA PERGOLA N. 7 INGRESSO DA P.LE ARCHINTO; (Z.D. 9)
VIA ANGELONI LUIGI N. 23 ; (Z.D. 9)
VIA ANGELONI LUIGI N. 33 ; (Z.D. 9)
VIA ANGELONI LUIGI N. 40 ; (Z.D. 9)
VIA ANGERA N. 10 ; (Z.D. 2)
VIA ANGUISSOLA SOFONISBA N. 23 ; (Z.D. 7)
VIA ANGUISSOLA SOFONISBA N. 31 ; (Z.D. 7)
VIA ANSELMO DA BAGGIO N. 10 ; (Z.D. 7)
VIA ANSELMO DA BAGGIO N. 63 (Z.D. 7)
VIA ANSELMO DA BAGGIO N. 63 ; (Z.D. 7)
VIA ANTONELLO DA MESSINA N. 22 ; (Z.D. 7)
VIA ANTONINI GIACOMO N. 62 ; (Z.D. 5)
VIA ANZANI FRANCESCO N. 1 ; (Z.D. 4)
VIA ANZANI FRANCESCO N. 2 ; (Z.D. 4)
VIA AOSTA N. 13 (Z.D. 8)
VIA APELLE N. 20 ; (Z.D. 2)
VIA APPENNINI N. 11A (Z.D. 8)
VIA APPENNINI N. 65 AL PIANO SECONDO; (Z.D. 8)
VIA APPENNINI NUM.007A; (Z.D. 8)
VIA APPENNINI NUM.077H; (Z.D. 8)
VIA APPIANI ANDREA N. 12 CON INGRESSO IN VIA PARINI 5; (Z.D. 1)
VIA ARBE N. 31 ; (Z.D. 2)
VIA ARBE N. 33 ; (Z.D. 2)
VIA ARBE N. 65 ; (Z.D. 2)
VIA ARBE N. 85 ; (Z.D. 2)
VIA ARCHIMEDE N. 20 (Z.D. 4)
VIA ARCHIMEDE N. 41 ; (Z.D. 4)
VIA ARCHIMEDE N. 43 ; (Z.D. 4)
VIA ARCHIMEDE N. 59 ; (Z.D. 4)
VIA ARCHIMEDE N. 83 (Z.D. 4)
VIA ARCHIMEDE N. 83 ; (Z.D. 4)
VIA ARCO N. 1 (Z.D. 1)
VIA ARENA N. 35 ; (Z.D. 1)
VIA ARENA N. 35 CON INGR. VIA G.D'ANNUNZIO 23; (Z.D. 1)
VIA ARESE FRANCESCO N. 20 INGRESSO SU V.THAON DE REVEL 9; (Z.D. 9)
VIA ARGANINI GEROLAMO N. 23 ; (Z.D. 9)
VIA ARGANINI GEROLAMO N. 26 ; (Z.D. 9)
VIA ARGELATI FILIPPO N. 1 ; (Z.D. 6)
VIA ARIBERTO DA INTIMIANO N. 19 ; (Z.D. 1)
VIA ARICI CESARE N. 1 ; (Z.D. 2)
VIA ARICI CESARE N. 3 ; (Z.D. 2)
VIA ARIMONDI GIUSEPPE N. 1 (Z.D. 8)
VIA ARIMONDI GIUSEPPE N. 11 ; (Z.D. 8)
VIA ARIOSTO LODOVICO N. 27 ; (Z.D. 1)
VIA ARIOSTO LODOVICO N. 34 ; (Z.D. 1)
VIA ARISTOTELE N. 15 ; (Z.D. 2)
VIA ARISTOTELE N. 39 ; (Z.D. 2)
VIA ARISTOTELE N. 67 ; (Z.D. 2)
VIA ARNO' RICCARDO N. 6 ; (Z.D. 3)
VIA ARNOLFO DI CAMBIO N. 2 (Z.D. 8)
VIA ARONA INT. CENTRO COMM.LE COOP NUM.0155; (Z.D. 8)
VIA ARQUA' N. 14 ; (Z.D. 2)
VIA ARSIA N. 7 (Z.D. 8)
VIA ARSIA N. 7 INTERNO 21; (Z.D. 8)
VIA ARZAGA N. 11 ; (Z.D. 6)
VIA ARZAGA N. 24 ; (Z.D. 6)
VIA ASELLI GASPARE N. 20 ; (Z.D. 3)
VIA ASELLI GASPARE N. 24 ; (Z.D. 3)
VIA ASELLI GASPARE N. 26 ; (Z.D. 3)
VIA ASELLI GASPARE N. 29 (Z.D. 3)
VIA ASELLI GASPARE N. 29 ; (Z.D. 3)
VIA ASELLI GASPARE N. 5 ; (Z.D. 3)
VIA ASELLI GASPARE N. 7 ; (Z.D. 3)
VIA ASIAGO N. 116 ; (Z.D. 2)
VIA ASIAGO N. 68 ; (Z.D. 2)
VIA ASSIETTA N. 19 ; (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 2 (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 2 ; (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 20 INTERNO CORTILE; (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 4 (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 40 ; (Z.D. 9)
VIA ASTESANI ALESSANDRO N. 43 ; (Z.D. 9)
VIA ASTICO N. 18 ; (Z.D. 2)
VIA ATENE N. 6 ; (Z.D. 2)
VIA AUSONIO N. 16 CON INGRESSO VIA ARIBERTO; (Z.D. 1)
VIA AUSONIO N. 26 ; (Z.D. 1)
VIA AUSONIO N. 4 ; (Z.D. 1)
VIA BAGAROTTI MAFFEO N. 38 ; (Z.D. 7)
VIA BAINSIZZA N. 2 (Z.D. 5)
VIA BAINSIZZA N. 2 INGRESSO DA V.LE COL DI LANA; (Z.D. 5)
VIA BALBO CESARE N. 36 ; (Z.D. 5)
VIA BALDINUCCI FILIPPO N. 102 ; (Z.D. 9)
VIA BALDINUCCI FILIPPO N. 14 ; (Z.D. 9)
VIA BALDINUCCI FILIPPO N. 6 ; (Z.D. 9)
VIA BALDINUCCI FILIPPO N. 99 ; (Z.D. 9)
VIA BALDISSERA ANTONIO N. 4 INGR.V.STOPPANI 24 ANG EUSTACH; (Z.D. 3)
VIA BALESTRIERI DOMENICO N. 5 ; (Z.D. 1)
VIA BALESTRIERI DOMENICO N. 8 ; (Z.D. 1)
VIA BALILLA N. 14 ; (Z.D. 5)
VIA BARABINO NICOLO' N. 7 ; (Z.D. 4)
VIA BARACCHINI FLAVIO N. 9 (Z.D. 1)
VIA BARDELLI GIUSEPPE N. 12 ; (Z.D. 3)
VIA BARI N. 2 ; (Z.D. 6)
VIA BARI NUM.011D; (Z.D. 6)
VIA BARI NUM.011E; (Z.D. 6)
VIA BARONI COSTANTINO N. 16 ; (Z.D. 5)
VIA BARONI COSTANTINO N. 172 ; (Z.D. 5)
VIA BARONI COSTANTINO N. 242 ; (Z.D. 5)
VIA BARONI COSTANTINO NUM.008B; (Z.D. 5)
VIA BARONI COSTANTINO NUM.198F; (Z.D. 5)
VIA BARRILI  ANTON GIULIO N. 24 ; (Z.D. 5)
VIA BASSI PAOLO N. 22 ; (Z.D. 9)
VIA BASSI UGO N. 18 INGR.P.ZA FIDIA; (Z.D. 9)
VIA BASSI UGO N. 30 ; (Z.D. 9)
VIA BASSINI EDOARDO N. 41 ; (Z.D. 3)
VIA BASSINI EDOARDO N. 45 ; (Z.D. 3)
VIA BATTAGLIA NATALE N. 6 (Z.D. 2)
VIA BATTISTI CESARE N. 21 ; (Z.D. 1)
VIA BATTISTI CESARE N. 8 ; (Z.D. 1)
VIA BATTISTOTTI SASSI LUISA N. 12 ; (Z.D. 4)
VIA BATTISTOTTI SASSI LUISA N. 2 ; (Z.D. 4)
VIA BATTISTOTTI SASSI LUISA N. 8 ; (Z.D. 4)
VIA BAZZINI ANTONIO N. 27 ; (Z.D. 3)
VIA BEATO ANGELICO N. 29 (Z.D. 3)
VIA BECCARIA CESARE N. 5 ; (Z.D. 1)
VIA BELINZAGHI GIULIO N. 4 ; (Z.D. 9)
VIA BELLARMINO ROBERTO N. 17 ; (Z.D. 5)
VIA BELLARMINO ROBERTO N. 25 ; (Z.D. 5)
VIA BELLERIO CARLO N. 22 ; (Z.D. 9)
VIA BELLEZZA GIOVANNI N. 1 ; (Z.D. 5)
VIA BELLEZZA GIOVANNI N. 12 ; (Z.D. 5)
VIA BELLINI GENTILE N. 10 ; (Z.D. 6)
VIA BELLINI GENTILE N. 8 ; (Z.D. 6)
VIA BELLOTTI FELICE N. 4 ; (Z.D. 3)
VIA BELLOTTI FELICE N. 5 ; (Z.D. 3)
VIA BENACO N. 1 (Z.D. 4)
VIA BENACO N. 26 ; (Z.D. 5)
VIA BENACO N. 32 INT.CORTILE; (Z.D. 5)
VIA BENADIR N. 14 (Z.D. 2)
VIA BENEFATTORI DELL'OSPEDALE N. 1 ; (Z.D. 9)
VIA BENELLI SEM N. 11 CON INGRESSO IN VIA URUGUAY; (Z.D. 8)
VIA BENGASI N. 2 INGR.VIA PADOVA; (Z.D. 1)
VIA BERGAMO N. 12 (Z.D. 4)
VIA BERGAMO N. 12A (Z.D. 4)
VIA BERGAMO N. 2 (Z.D. 4)
VIA BERGAMO N. 2 ; (Z.D. 4)
VIA BERGAMO N. 22 ; (Z.D. 4)
VIA BERGAMO N. 8 ; (Z.D. 4)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 ; (Z.D. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 INGRESSO LATO B; (Z.D. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 43 5Ø PIANO; (Z.D. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 9 ; (Z.D. 6)
VIA BERRA DOMENICO N. 3 ; (Z.D. 2)
VIA BERTANI AGOSTINO N. 14 ; (Z.D. 1)
VIA BERTELLI LUIGI NUM.002A; (Z.D. 2)
VIA BERTINI GIOVANNI BATTISTA N. 18 ; (Z.D. 8)
VIA BERTOLAZZI CARLO N. 20 ; (Z.D. 3)
VIA BERUTO CESARE N. 13 ; (Z.D. 3)
VIA BESSARIONE N. 12 ; (Z.D. 4)
VIA BESSARIONE N. 42 ; (Z.D. 4)
VIA BETTI UGO N. 46D NUM.046D; (Z.D. 8)
VIA BETTI UGO NUM.161A; (Z.D. 8)
VIA BETTI UGO NUM.161B; (Z.D. 8)
VIA BEZZECCA N. 1 ; (Z.D. 4)
VIA BIANCHI MOSE' N. 11 ; (Z.D. 7)
VIA BIANCHI MOSE' N. 26 ; (Z.D. 7)
VIA BIELLA N. 20 1 LOCALE; (Z.D. 6)
VIA BIELLA N. 24 ; (Z.D. 6)
VIA BIGLI N. 20 (Z.D. 1)
VIA BIGLI N. 28 ; (Z.D. 1)
VIA BINDA AMBROGIO N. 5 ; (Z.D. 6)
VIA BINDA AMBROGIO N. 9 (Z.D. 6)
VIA BINDA AMBROGIO N. 9 ; (Z.D. 6)
VIA BINDA AMBROGIO NUM.040; (Z.D. 6)
VIA BIONDELLI BERNARDINO N. 1 (Z.D. 5)
VIA BIONDELLI BERNARDINO N. 1 ; (Z.D. 5)
VIA BIONDI EZIO N. 1 ; (Z.D. 8)
VIA BIONDI EZIO N. 5 ; (Z.D. 8)
VIA BIRAGHI LUIGI N. 11 ; (Z.D. 9)
VIA BISI ALBINI SOFIA N. 4 ; (Z.D. 2)
VIA BISLERI FELICE N. 11 ; (Z.D. 7)
VIA BIUMI PAOLO GEROLAMO N. 16 ; (Z.D. 2)
VIA BIUMI PAOLO GEROLAMO N. 18 ; (Z.D. 2)
VIA BIXIO NINO N. 10 (Z.D. 3)
VIA BIXIO NINO N. 12 ; (Z.D. 3)
VIA BIXIO NINO N. 32 ; (Z.D. 3)
VIA BOBBIO N. 2 ; (Z.D. 6)
VIA BOCCACCIO GIOVANNI N. 11 ; (Z.D. 1)
VIA BOCCACCIO GIOVANNI N. 15 ; (Z.D. 1)
VIA BOCCACCIO GIOVANNI N. 26 C/O FARMACIA BOCCACCIO; (Z.D. 1)
VIA BOCCACCIO GIOVANNI N. 45 5Ø PIANO; (Z.D. 1)
VIA BOCCACCIO GIOVANNI N. 9 ; (Z.D. 1)
VIA BOCCACCIO GIOVANNI NUM.015A; (Z.D. 1)
VIA BOERI GIOVANNI BATTISTA N. 11 TRASLOCO FUORI RAGGIO; (Z.D. 5)
VIA BOIARDO MATTEO MARIA N. 22 ; (Z.D. 2)
VIA BOIARDO MATTEO MARIA N. 33 ; (Z.D. 2)
VIA BOIFAVA PIETRO N. 80 ; (Z.D. 5)
VIA BOIFAVA PIETRO NUM.006C; (Z.D. 5)
VIA BOIFAVA PIETRO NUM.076A; (Z.D. 5)
VIA BOLZANO N. 6 ; (Z.D. 2)
VIA BONCOMPAGNI CARLO N. 10 ; (Z.D. 4)
VIA BONCOMPAGNI CARLO N. 36 ; (Z.D. 4)
VIA BONFADINI ROMUALDO N. 80 ; (Z.D. 4)
VIA BONFADINI ROMUALDO N. 89 ; (Z.D. 4)
VIA BONFADINI ROMUALDO NUM.256; (Z.D. 4)
VIA BONGHI RUGGERO N. 12 (Z.D. 5)
VIA BONGHI RUGGERO N. 16 ; (Z.D. 5)
VIA BONGHI RUGGERO N. 9 ; (Z.D. 5)
VIA BONI GIACOMO N. 10 ; (Z.D. 7)
VIA BONI GIACOMO N. 16 ; (Z.D. 7)
VIA BONI GIACOMO N. 25 ; (Z.D. 7)
VIA BONI GIACOMO N. 33 ; (Z.D. 7)
VIA BONI GIACOMO N. 39 ; (Z.D. 7)
VIA BONI GIACOMO N. 45 ; (Z.D. 7)
VIA BONNET NINO N. 3 ; (Z.D. 9)
VIA BONNET NINO N. 5 ; (Z.D. 9)
VIA BONNET NINO NUM.006B; (Z.D. 9)
VIA BONVESIN DE LA RIVA N. 9 PIANO TERRA E SEMINTERRATO; (Z.D. 4)
VIA BORDIGHERA N. 22 ; (Z.D. 5)
VIA BORDONI ANTONIO N. 12 ; (Z.D. 9)
VIA BORGONUOVO N. 9 PIANO SEMINTERRATO; (Z.D. 1)
VIA BORSI GIOSUE' N. 2 (Z.D. 6)
VIA BORSI GIOSUE' N. 2 ; (Z.D. 6)
VIA BORSIERI PIETRO N. 29 ; (Z.D. 9)
VIA BORSIERI PIETRO NUM.041.; (Z.D. 2)
VIA BOSCHETTI ERASMO N. 7 ; (Z.D. 2)
VIA BOSCOVICH RUGGERO N. 17 (Z.D. 2)
VIA BOSCOVICH RUGGERO N. 17 ; (Z.D. 2)
VIA BOSCOVICH RUGGERO N. 26 ; (Z.D. 2)
VIA BOSCOVICH RUGGERO N. 31 ; (Z.D. 2)
VIA BOSCOVICH RUGGERO N. 44 ; (Z.D. 3)
VIA BOSCOVICH RUGGERO N. 61 ; (Z.D. 3)
VIA BOTTA CARLO N. 4 ; (Z.D. 4)
VIA BOTTEGO VITTORIO N. 13 (Z.D. 2)
VIA BOTTESINI GIOVANNI N. 7 (Z.D. 3)
VIA BOTTICELLI SANDRO N. 2 ; (Z.D. 3)
VIA BOVISASCA NUM.173; (Z.D. 9)
VIA BRA' N. 14 ; (Z.D. 3)
VIA BRACCIO DA MONTONE N. 2 ; (Z.D. 1)
VIA BRAGA GAETANO N. 1 ; (Z.D. 2)
VIA BRAMANTE N. 14 ; (Z.D. 1)
VIA BRAMANTE N. 7 ; (Z.D. 1)
VIA BREDA ERNESTO N. 44 ; (Z.D. 2)
VIA BRENO N. 2 (Z.D. 4)
VIA BRIOSCHI FRANCESCO N. 39 (Z.D. 5)
VIA BRIOSCHI FRANCESCO N. 44 (Z.D. 5)
VIA BRIOSCHI FRANCESCO N. 5 ; (Z.D. 5)
VIA BRIOSCHI FRANCESCO N. 52 ; (Z.D. 5)
VIA BRIOSCHI FRANCESCO N. 92 ; (Z.D. 5)
VIA BRIOSCHI FRANCESCO N. 93 CON INGRESSO IN VIA PEZZOTTI; (Z.D. 5)
VIA BRIOSI GIOVANNI N. 8 ; (Z.D. 3)
VIA BRISA N. 15 ; (Z.D. 1)
VIA BRISA N. 3 TERZO PIANO; (Z.D. 1)
VIA BRIZI EUGENIO N. 1 ; (Z.D. 4)
VIA BROCCHI GIAN BATTISTA I PIANO NUM.007A; (Z.D. 3)
VIA BROCCHI GIAN BATTISTA N. 19 ; (Z.D. 3)
VIA BROGGI GIUSEPPE N. 15 ; (Z.D. 3)
VIA BROGGI GIUSEPPE N. 17 1Ø PIANO; (Z.D. 3)
VIA BROGGI GIUSEPPE N. 5 (Z.D. 3)
VIA BROLETTO N. 30 ; (Z.D. 1)
VIA BROLETTO N. 39 ; (Z.D. 1)
VIA BRONZINO N. 1 ; (Z.D. 3)
VIA BRONZINO N. 21 ; (Z.D. 3)
VIA BRUNACCI VINCENZO N. 10 ; (Z.D. 5)
VIA BRUNELLESCHI FILIPPO N. 1 ; (Z.D. 6)
VIA BRUNELLESCHI FILIPPO N. 2 ; (Z.D. 6)
VIA BRUNO CASSINARI N. 1 (Z.D. 4)
"VIA BRUNO CASSINARI N. 11 CODVIA 4386 NUM.011; VIA CASSINARI, 11/F (Z.D. 4)"
VIA BRUNO GIORDANO N. 6 ; (Z.D. 1)
VIA BRUSUGLIO N. 67 ; (Z.D. 9)
VIA BRUSUGLIO N. 73 (Z.D. 9)
VIA BRUSUGLIO N. 73 ; (Z.D. 9)
VIA BRUZZESI GIACINTO N. 2 (Z.D. 6)
VIA BRUZZESI GIACINTO N. 2 ; (Z.D. 6)
VIA BRUZZESI GIACINTO N. 25 ; (Z.D. 6)
VIA BUDUA N. 8 CON INGRESSO VIA VEGLIA; (Z.D. 9)
VIA BUGATTI ETTORE N. 1 ; (Z.D. 5)
VIA BUGATTI ETTORE N. 9 ; (Z.D. 5)
VIA BUONARROTI MICHELANGELO N. 15 ; (Z.D. 7)
VIA BUONARROTI MICHELANGELO N. 4 ; (Z.D. 7)
VIA BURLAMACCHI FRANCESCO N. 11 ; (Z.D. 4)
VIA BUSCHI AVERARDO N. 20 (Z.D. 3)
VIA BUSCHI AVERARDO N. 25 ; (Z.D. 6)
VIA BUSSETO N. 2 ; (Z.D. 4)
VIA CABELLA BARTOLOMEO N. 21 ; (Z.D. 7)
VIA CABELLA BARTOLOMEO N. 56 ; (Z.D. 7)
VIA CABELLA BARTOLOMEO NUM.004A; (Z.D. 7)
VIA CABELLA BARTOLOMEO NUM.009A; (Z.D. 7)
VIA CACCIALEPORI N. 3 ; (Z.D. 7)
VIA CACCIALEPORI N. 36 ; (Z.D. 7)
VIA CACCIATORI BENEDETTO N. 1 ; (Z.D. 7)
VIA CACCIATORI BENEDETTO N. 12 ; (Z.D. 7)
VIA CADAMOSTO ALVISE N. 7 (Z.D. 3)
VIA CADIBONA N. 10 ; (Z.D. 4)
VIA CADIBONA N. 8 ; (Z.D. 4)
VIA CADORE N. 21 ; (Z.D. 4)
VIA CADORE N. 29 ; (Z.D. 4)
VIA CADORE N. 30 ; (Z.D. 4)
VIA CADORE N. 37 ; (Z.D. 4)
VIA CADORE N. 39 ; (Z.D. 4)
VIA CADORE N. 48 ; (Z.D. 4)
VIA CADORE N. 6 ; (Z.D. 4)
VIA CAGLIERO GIOVANNI N. 14 INTERRATO; (Z.D. 2)
VIA CAGLIERO GIOVANNI N. 6 ; (Z.D. 2)
VIA CAGLIERO GIOVANNI N. 7 ; (Z.D. 2)
VIA CAGNOLA LUIGI N. 7 ; (Z.D. 1)
VIA CALDERA NUM.111A; (Z.D. 7)
VIA CALIFORNIA N. 1 ; (Z.D. 7)
VIA CALIFORNIA N. 14 ; (Z.D. 7)
VIA CALIFORNIA N. 2 ; (Z.D. 7)
VIA CALVAIRATE N. 1 ; (Z.D. 4)
VIA CALVAIRATE N. 1 ANGOLO VIALE MOLISE; (Z.D. 4)
VIA CALVI PIETRO N. 3 ALTRO LOCALE; (Z.D. 4)
VIA CALVI PIETRO P.T.ACCONCIATORE NUM.003A; (Z.D. 4)
VIA CALVI PIETRO SEMINTERRATO NUM.003A; (Z.D. 4)
VIA CALZECCHI TEMISTOCLE N. 2 ; (Z.D. 3)
VIA CALZECCHI TEMISTOCLE N. 2 ANG.VIA AMADEO; (Z.D. 3)
VIA CAMERINI EUGENIO N. 7 ; (Z.D. 3)
VIA CAMINADELLA N. 17 (Z.D. 1)
VIA CAMINADELLA N. 7 ; (Z.D. 1)
VIA CAMINADELLA N. 9 ; (Z.D. 1)
VIA CAMOZZI GABRIELE N. 1 ; (Z.D. 7)
VIA CAMPERIO MANFREDO N. 16 INT. PROFUMERIA; (Z.D. 1)
VIA CAMPERIO MANFREDO N. 17 ; (Z.D. 1)
VIA CANDIANI GIUSEPPE N. 117 ; (Z.D. 9)
VIA CANDIANI GIUSEPPE N. 98 ; (Z.D. 9)
VIA CANDOGLIA N. 2 ; (Z.D. 9)
VIA CANNERO N. 15 ; (Z.D. 9)
VIA CANONICA LUIGI N. 13 ; (Z.D. 1)
VIA CANONICA LUIGI N. 24 (Z.D. 1)
VIA CANONICA LUIGI N. 39 ; (Z.D. 1)
VIA CANONICA LUIGI N. 59 ; (Z.D. 1)
VIA CANONICA LUIGI N. 91 (Z.D. 8)
VIA CANOVA ANTONIO N. 1 ; (Z.D. 1)
VIA CANTONI COSTANZO N. 11 ; (Z.D. 9)
VIA CANTONI GIOVANNI N. 11 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 14 (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 14 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 19 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 20 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 23 (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 29 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 35 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 61 ; (Z.D. 7)
VIA CAPECELATRO ALFONSO N. 87 ; (Z.D. 7)
VIA CAPPELLINI ALFREDO N. 16 (Z.D. 2)
VIA CAPPONI PIER LUIGI N. 1 ; (Z.D. 7)
VIA CAPPONI PIER LUIGI N. 4 ; (Z.D. 7)
VIA CAPPONI PIER LUIGI N. 5 ; (Z.D. 7)
VIA CAPPUCCIO N. 2 (Z.D. 1)
VIA CAPRI N. 21 ; (Z.D. 7)
VIA CAPSONI SIRO N. 11 ; (Z.D. 9)
VIA CARABELLI RODOLFO N. 1 ; (Z.D. 4)
VIA CARABELLI RODOLFO N. 11 ; (Z.D. 4)
VIA CARABELLI RODOLFO N. 15 ; (Z.D. 4)
VIA CARABELLI RODOLFO N. 2 ; (Z.D. 4)
VIA CARACCIOLO FRANCESCO N. 92 ; (Z.D. 8)
VIA CARCANO FILIPPO N. 10 ; (Z.D. 7)
VIA CARCANO FILIPPO N. 4 ; (Z.D. 7)
VIA CARCANO GIULIO N. 4 ; (Z.D. 5)
VIA CARCANO GIULIO NUM.0613; (Z.D. 5)
VIA CARDINALE MEZZOFANTI N. 2 ; (Z.D. 4)
VIA CARDINALE MEZZOFANTI N. 20 ; (Z.D. 4)
VIA CARDINALE MEZZOFANTI N. 29 ; (Z.D. 4)
VIA CARDUCCI GIOSUE' N. 12 ; (Z.D. 1)
VIA CARDUCCI GIOSUE' N. 19 ANGOLO VIA TERRAGGIO (Z.D. 1)
VIA CARDUCCI GIOSUE' N. 2 ; (Z.D. 1)
VIA CARDUCCI GIOSUE' N. 27 ; (Z.D. 1)
VIA CARDUCCI GIOSUE' N. 38 ; (Z.D. 1)
VIA CARDUCCI GIOSUE' N. 9 ; (Z.D. 1)
VIA CARETTA ANNIBALE N. 3 (Z.D. 3)
VIA CARLI GIAN RINALDO N. 15 ; (Z.D. 9)
VIA CARLI GIAN RINALDO N. 39 ; (Z.D. 9)
VIA CARLONE CARLO ANTONIO N. 4 ; (Z.D. 6)
VIA CARNEVALI ANTONIO N. 11 ; (Z.D. 9)
VIA CARNEVALI ANTONIO N. 74 ; (Z.D. 9)
VIA CARNIA N. 31 ; (Z.D. 3)
VIA CARNIA N. 7 ; (Z.D. 3)
VIA CARONCINI ALBERTO N. 1 ; (Z.D. 4)
VIA CAROZZI GIUSEPPE N. 18 ; (Z.D. 6)
VIA CARPI EUGENIO N. 4 ; (Z.D. 3)
VIA CARROCCIO N. 3 ; (Z.D. 1)
VIA CARROCCIO N. 6 ; (Z.D. 1)
VIA CASARSA N. 9 (Z.D. 9)
VIA CASARSA N. 9 ; (Z.D. 9)
VIA CASATI FELICE N. 12 ; (Z.D. 3)
VIA CASATI FELICE N. 2 ; (Z.D. 3)
VIA CASATI FELICE N. 25 ; (Z.D. 2)
VIA CASATI FELICE N. 35 ; (Z.D. 2)
VIA CASCINA BAROCCO N. 4 2 LOCALI; (Z.D. 7)
VIA CASCINA BAROCCO N. 9 (Z.D. 7)
VIA CASCINA BAROCCO N. 9 ; (Z.D. 7)
VIA CASCINA BELLARIA N. 1 INGR.VIA NOVARA; (Z.D. 7)
VIA CASCINA BELLARIA N. 19 ; (Z.D. 7)
VIA CASCINA BIANCA N. 16 ; (Z.D. 6)
VIA CASELLA GIOVANNI BATTISTA N. 10 ; (Z.D. 8)
